HOG,OG,Gene.Tree.Parent.Clade,cnat_ref_proteome,mcav_ref_proteome,ofav_ref_proteome,ofra_ref_proteome
N0.HOG0006642,OG0000353,n1,TRINITY_DN220989_c0_g1_i2.p1,TRINITY_DN109510_c0_g1_i2.p1,TRINITY_DN530745_c0_g1_i1.p1,TRINITY_DN233437_c0_g1_i1.p1
N0.HOG0006667,OG0000355,n28,TRINITY_DN10692_c1_g1_i7.p1,TRINITY_DN9105_c0_g1_i5.p1,TRINITY_DN37974_c0_g1_i1.p1,TRINITY_DN7600_c0_g1_i3.p1
N0.HOG0006671,OG0000356,n1,TRINITY_DN15002_c0_g1_i3.p1,TRINITY_DN23742_c0_g1_i9.p1,TRINITY_DN37666_c0_g1_i7.p1,TRINITY_DN64_c0_g1_i4.p1
N0.HOG0006676,OG0000356,n26,TRINITY_DN23066_c0_g1_i1.p1,TRINITY_DN39953_c0_g1_i1.p1,TRINITY_DN36624_c0_g1_i1.p1,TRINITY_DN26659_c0_g1_i1.p1
N0.HOG0006677,OG0000356,n29,TRINITY_DN24133_c0_g1_i1.p1,TRINITY_DN41516_c0_g1_i1.p1,TRINITY_DN7710_c0_g1_i1.p1,TRINITY_DN8587_c0_g1_i3.p1
N0.HOG0006678,OG0000356,n34,TRINITY_DN11361_c0_g1_i4.p1,TRINITY_DN22279_c0_g1_i5.p2,TRINITY_DN6288_c0_g1_i1.p1,TRINITY_DN1832_c0_g2_i1.p1
N0.HOG0006709,OG0000360,n27,TRINITY_DN8306_c0_g1_i16.p1,TRINITY_DN21559_c0_g1_i3.p1,TRINITY_DN14054_c0_g1_i11.p1,TRINITY_DN9244_c1_g1_i3.p1
N0.HOG0006713,OG0000361,n1,TRINITY_DN22907_c0_g1_i6.p1,TRINITY_DN109360_c0_g1_i1.p1,TRINITY_DN98699_c0_g1_i6.p1,TRINITY_DN70636_c0_g1_i2.p1
N0.HOG0006717,OG0000361,n14,TRINITY_DN89767_c0_g1_i2.p1,TRINITY_DN273578_c0_g1_i1.p1,TRINITY_DN5516_c0_g1_i5.p1,TRINITY_DN65926_c0_g1_i13.p1
N0.HOG0006719,OG0000361,n27,TRINITY_DN126710_c0_g1_i1.p1,TRINITY_DN254621_c0_g1_i1.p2,TRINITY_DN312694_c0_g1_i9.p1,TRINITY_DN197717_c0_g1_i1.p1
N0.HOG0006723,OG0000361,n39,TRINITY_DN262275_c0_g1_i3.p1,TRINITY_DN336056_c0_g1_i1.p1,TRINITY_DN173250_c0_g1_i7.p1,TRINITY_DN102628_c0_g1_i1.p1
N0.HOG0006737,OG0000363,n21,TRINITY_DN47246_c0_g1_i3.p1,TRINITY_DN96012_c0_g1_i6.p1,TRINITY_DN114153_c0_g1_i2.p1,TRINITY_DN45682_c0_g1_i8.p1
N0.HOG0006755,OG0000365,n29,TRINITY_DN66284_c0_g1_i5.p1,TRINITY_DN3464_c0_g1_i3.p1,TRINITY_DN172782_c1_g1_i3.p1,TRINITY_DN37099_c0_g1_i14.p1
N0.HOG0006759,OG0000366,n1,TRINITY_DN401593_c0_g1_i1.p1,TRINITY_DN53122_c0_g1_i6.p1,TRINITY_DN325824_c0_g1_i2.p1,TRINITY_DN124318_c0_g1_i2.p1
N0.HOG0006771,OG0000367,n1,TRINITY_DN375495_c0_g1_i1.p1,TRINITY_DN164647_c0_g1_i3.p1,TRINITY_DN290282_c0_g1_i1.p2,TRINITY_DN153144_c0_g1_i2.p1
N0.HOG0006784,OG0000367,n42,TRINITY_DN129830_c0_g1_i12.p1,TRINITY_DN211621_c0_g1_i2.p1,TRINITY_DN51789_c0_g1_i1.p1,TRINITY_DN166596_c0_g1_i2.p1
N0.HOG0006813,OG0000371,n7,TRINITY_DN413_c1_g1_i6.p1,TRINITY_DN323729_c0_g1_i2.p1,TRINITY_DN145987_c0_g1_i10.p1,TRINITY_DN69946_c0_g1_i1.p2
N0.HOG0006822,OG0000372,n1,TRINITY_DN2788_c0_g1_i1.p1,TRINITY_DN39559_c0_g1_i3.p1,TRINITY_DN68916_c0_g1_i3.p1,TRINITY_DN22142_c0_g1_i7.p1
N0.HOG0006831,OG0000373,n1,TRINITY_DN17409_c1_g1_i4.p1,TRINITY_DN7850_c0_g3_i1.p1,TRINITY_DN47289_c0_g1_i3.p1,TRINITY_DN44020_c0_g1_i2.p1
N0.HOG0006832,OG0000373,n7,TRINITY_DN20079_c0_g1_i3.p1,TRINITY_DN188142_c0_g1_i4.p1,TRINITY_DN6086_c0_g1_i5.p1,TRINITY_DN9746_c0_g1_i11.p1
N0.HOG0006833,OG0000373,n10,TRINITY_DN29379_c0_g1_i19.p1,TRINITY_DN46819_c0_g1_i12.p1,TRINITY_DN9205_c2_g2_i2.p1,TRINITY_DN92246_c0_g1_i7.p1
N0.HOG0006835,OG0000373,n30,TRINITY_DN292_c0_g1_i22.p1,TRINITY_DN6386_c0_g1_i10.p1,TRINITY_DN364_c0_g1_i6.p1,TRINITY_DN1118_c0_g2_i6.p1
N0.HOG0006840,OG0000374,n1,TRINITY_DN2595_c1_g1_i10.p1,TRINITY_DN6525_c0_g1_i1.p1,TRINITY_DN12426_c0_g1_i6.p1,TRINITY_DN11909_c0_g1_i4.p1
N0.HOG0006843,OG0000374,n17,TRINITY_DN5775_c0_g1_i7.p1,TRINITY_DN11760_c0_g1_i8.p1,TRINITY_DN7959_c0_g1_i2.p1,TRINITY_DN2288_c0_g1_i1.p1
N0.HOG0006846,OG0000374,n35,TRINITY_DN2161_c0_g2_i3.p1,TRINITY_DN2777_c0_g1_i5.p1,TRINITY_DN1799_c0_g1_i22.p1,TRINITY_DN3045_c0_g1_i11.p1
N0.HOG0006847,OG0000374,n38,TRINITY_DN5474_c0_g1_i5.p1,TRINITY_DN9513_c0_g1_i5.p1,TRINITY_DN6457_c0_g1_i13.p1,TRINITY_DN5881_c0_g1_i2.p1
N0.HOG0006848,OG0000374,n41,TRINITY_DN2161_c0_g1_i1.p1,TRINITY_DN16703_c0_g1_i2.p1,TRINITY_DN56531_c0_g1_i6.p1,TRINITY_DN9865_c0_g1_i1.p1
N0.HOG0006866,OG0000376,n24,TRINITY_DN92_c0_g1_i3.p1,TRINITY_DN44512_c0_g1_i10.p1,TRINITY_DN8198_c5_g1_i7.p1,TRINITY_DN1559_c0_g1_i1.p1
N0.HOG0006879,OG0000378,n1,TRINITY_DN6806_c0_g1_i6.p1,TRINITY_DN4284_c0_g1_i9.p1,TRINITY_DN8386_c2_g1_i16.p1,TRINITY_DN3190_c0_g1_i6.p1
N0.HOG0006892,OG0000380,n1,TRINITY_DN398978_c0_g1_i1.p1,TRINITY_DN49834_c0_g1_i2.p1,TRINITY_DN2602_c0_g1_i2.p3,TRINITY_DN11827_c0_g1_i8.p1
N0.HOG0006911,OG0000382,n1,TRINITY_DN134946_c0_g1_i1.p1,TRINITY_DN3510_c0_g1_i10.p1,TRINITY_DN386_c0_g1_i23.p2,TRINITY_DN196290_c0_g2_i1.p1
N0.HOG0006937,OG0000384,n15,TRINITY_DN18813_c0_g1_i1.p1,TRINITY_DN28121_c0_g1_i4.p1,TRINITY_DN17096_c0_g1_i2.p1,TRINITY_DN15190_c0_g1_i6.p1
N0.HOG0006938,OG0000384,n19,TRINITY_DN19659_c0_g1_i9.p1,TRINITY_DN13183_c0_g1_i7.p1,TRINITY_DN17261_c0_g1_i9.p1,TRINITY_DN19534_c0_g1_i8.p1
N0.HOG0006939,OG0000384,n22,TRINITY_DN27418_c0_g1_i7.p1,TRINITY_DN61050_c0_g1_i5.p1,TRINITY_DN848_c0_g1_i3.p1,TRINITY_DN15696_c0_g1_i8.p1
N0.HOG0006944,OG0000385,n1,TRINITY_DN19464_c0_g1_i10.p1,TRINITY_DN49992_c0_g1_i9.p1,TRINITY_DN38126_c0_g1_i6.p1,TRINITY_DN61046_c0_g1_i4.p1
N0.HOG0006945,OG0000385,n6,TRINITY_DN18978_c0_g1_i6.p1,TRINITY_DN14765_c0_g1_i5.p1,TRINITY_DN7379_c0_g1_i3.p1,TRINITY_DN7425_c0_g1_i1.p1
N0.HOG0006947,OG0000385,n15,TRINITY_DN1581_c0_g1_i3.p1,TRINITY_DN2958_c0_g1_i4.p1,TRINITY_DN4538_c0_g1_i5.p1,TRINITY_DN13172_c0_g2_i3.p2
N0.HOG0006949,OG0000385,n34,TRINITY_DN6043_c0_g1_i1.p1,TRINITY_DN15441_c0_g1_i9.p1,TRINITY_DN25442_c0_g1_i6.p1,TRINITY_DN16206_c0_g1_i9.p1
N0.HOG0006951,OG0000386,n1,TRINITY_DN31323_c2_g1_i1.p1,TRINITY_DN279361_c0_g1_i1.p2,TRINITY_DN80125_c0_g1_i3.p1,TRINITY_DN19672_c1_g2_i2.p1
N0.HOG0006960,OG0000387,n1,TRINITY_DN343235_c0_g1_i1.p1,TRINITY_DN231906_c0_g1_i5.p1,TRINITY_DN68857_c0_g1_i4.p1,TRINITY_DN32394_c0_g1_i6.p1
N0.HOG0006972,OG0000388,n15,TRINITY_DN133718_c0_g1_i4.p1,TRINITY_DN25766_c0_g1_i4.p1,TRINITY_DN29103_c0_g1_i3.p2,TRINITY_DN17050_c0_g1_i11.p1
N0.HOG0006975,OG0000388,n27,TRINITY_DN10876_c0_g1_i1.p1,TRINITY_DN10766_c0_g1_i9.p1,TRINITY_DN32818_c1_g1_i14.p1,TRINITY_DN18728_c0_g1_i8.p1
N0.HOG0006990,OG0000390,n13,TRINITY_DN9688_c0_g1_i1.p2,TRINITY_DN38950_c0_g1_i1.p1,TRINITY_DN17786_c0_g1_i2.p1,TRINITY_DN14370_c0_g1_i6.p1
N0.HOG0007004,OG0000391,n29,TRINITY_DN65447_c0_g1_i4.p1,TRINITY_DN111109_c0_g1_i4.p1,TRINITY_DN142737_c0_g1_i3.p1,TRINITY_DN20711_c0_g2_i1.p1
N0.HOG0007037,OG0000396,n1,TRINITY_DN359773_c0_g1_i2.p1,TRINITY_DN5647_c0_g1_i4.p1,TRINITY_DN10093_c0_g1_i2.p1,TRINITY_DN2347_c1_g1_i3.p1
N0.HOG0007046,OG0000397,n1,TRINITY_DN13318_c0_g1_i8.p1,TRINITY_DN8033_c0_g1_i3.p1,TRINITY_DN6906_c0_g1_i1.p1,TRINITY_DN10069_c0_g1_i1.p1
N0.HOG0007055,OG0000398,n18,TRINITY_DN24950_c0_g1_i3.p2,TRINITY_DN40972_c0_g1_i6.p1,TRINITY_DN213_c2_g1_i10.p1,TRINITY_DN278_c0_g1_i7.p1
N0.HOG0007062,OG0000399,n1,TRINITY_DN15863_c0_g1_i7.p1,TRINITY_DN170676_c0_g1_i1.p1,TRINITY_DN1946_c1_g1_i3.p1,TRINITY_DN15196_c0_g1_i1.p1
N0.HOG0007136,OG0000407,n1,TRINITY_DN315953_c0_g1_i1.p1,TRINITY_DN175770_c0_g2_i4.p1,TRINITY_DN77158_c0_g1_i3.p1,TRINITY_DN166100_c0_g1_i1.p1
N0.HOG0007172,OG0000411,n1,TRINITY_DN15947_c0_g1_i1.p2,TRINITY_DN13591_c0_g1_i2.p1,TRINITY_DN24110_c0_g1_i1.p1,TRINITY_DN34813_c0_g1_i1.p1
N0.HOG0007181,OG0000412,n1,TRINITY_DN15715_c0_g1_i13.p2,TRINITY_DN5493_c0_g1_i2.p1,TRINITY_DN1317_c0_g1_i9.p1,TRINITY_DN7560_c0_g2_i12.p1
N0.HOG0007182,OG0000412,n7,TRINITY_DN4600_c0_g1_i3.p1,TRINITY_DN8386_c0_g1_i5.p1,TRINITY_DN752_c0_g1_i1.p1,TRINITY_DN8623_c0_g1_i12.p1
N0.HOG0007183,OG0000412,n10,TRINITY_DN56938_c0_g1_i3.p1,TRINITY_DN509_c1_g2_i3.p1,TRINITY_DN752_c2_g1_i4.p1,TRINITY_DN9881_c0_g1_i3.p1
N0.HOG0007185,OG0000412,n19,TRINITY_DN12660_c0_g1_i5.p1,TRINITY_DN5430_c0_g1_i8.p1,TRINITY_DN530_c0_g1_i14.p1,TRINITY_DN1222_c0_g2_i4.p1
N0.HOG0007197,OG0000413,n29,TRINITY_DN3908_c0_g1_i45.p1,TRINITY_DN6909_c1_g1_i7.p1,TRINITY_DN119_c3_g1_i1.p1,TRINITY_DN7780_c0_g1_i1.p1
N0.HOG0007198,OG0000413,n32,TRINITY_DN9929_c0_g1_i1.p1,TRINITY_DN14572_c0_g1_i5.p1,TRINITY_DN6041_c0_g1_i4.p1,TRINITY_DN1853_c0_g1_i5.p1
N0.HOG0007199,OG0000413,n35,TRINITY_DN8582_c0_g1_i4.p1,TRINITY_DN2292_c1_g1_i6.p1,TRINITY_DN7162_c0_g1_i1.p1,TRINITY_DN7283_c0_g1_i1.p1
N0.HOG0007201,OG0000414,n1,TRINITY_DN6245_c1_g1_i6.p1,TRINITY_DN22259_c0_g1_i2.p1,TRINITY_DN9462_c4_g1_i1.p1,TRINITY_DN2156_c0_g1_i9.p1
N0.HOG0007203,OG0000414,n10,TRINITY_DN12973_c0_g1_i1.p1,TRINITY_DN4824_c0_g1_i3.p1,TRINITY_DN1170_c3_g1_i10.p1,TRINITY_DN7063_c0_g2_i8.p1
N0.HOG0007210,OG0000414,n39,TRINITY_DN20273_c0_g2_i1.p1,TRINITY_DN11120_c0_g1_i1.p1,TRINITY_DN10276_c0_g1_i3.p1,TRINITY_DN1_c20_g1_i4.p1
N0.HOG0007218,OG0000415,n37,TRINITY_DN3583_c0_g2_i2.p1,TRINITY_DN38518_c0_g1_i17.p1,TRINITY_DN12120_c0_g1_i11.p1,TRINITY_DN15655_c0_g1_i8.p1
N0.HOG0007281,OG0000423,n32,TRINITY_DN105238_c0_g1_i1.p1,TRINITY_DN7935_c0_g1_i12.p1,TRINITY_DN15083_c0_g1_i2.p1,TRINITY_DN3739_c0_g1_i5.p1
N0.HOG0007295,OG0000425,n12,TRINITY_DN23021_c0_g1_i24.p2,TRINITY_DN395_c1_g1_i10.p1,TRINITY_DN16806_c0_g1_i14.p1,TRINITY_DN2928_c2_g1_i3.p1
N0.HOG0007307,OG0000427,n1,TRINITY_DN153614_c0_g1_i1.p1,TRINITY_DN457105_c0_g1_i1.p2,TRINITY_DN251406_c0_g1_i2.p1,TRINITY_DN384518_c0_g1_i1.p1
N0.HOG0007320,OG0000428,n1,TRINITY_DN154512_c0_g1_i5.p1,TRINITY_DN13960_c0_g1_i6.p1,TRINITY_DN34832_c0_g1_i1.p1,TRINITY_DN218438_c0_g1_i11.p1
N0.HOG0007325,OG0000428,n25,TRINITY_DN11165_c0_g1_i5.p1,TRINITY_DN3471_c0_g1_i1.p1,TRINITY_DN41449_c0_g1_i9.p1,TRINITY_DN14853_c0_g1_i15.p1
N0.HOG0007331,OG0000429,n14,TRINITY_DN197437_c0_g1_i1.p1,TRINITY_DN143270_c0_g2_i5.p1,TRINITY_DN159187_c0_g1_i2.p1,TRINITY_DN224223_c0_g1_i1.p1
N0.HOG0007338,OG0000430,n1,TRINITY_DN2822_c0_g1_i2.p1,TRINITY_DN20512_c0_g1_i2.p1,TRINITY_DN35543_c0_g1_i1.p1,TRINITY_DN46362_c0_g1_i2.p1
N0.HOG0007346,OG0000430,n35,TRINITY_DN1980_c0_g1_i19.p2,TRINITY_DN127797_c0_g1_i5.p1,TRINITY_DN410375_c0_g1_i2.p1,TRINITY_DN13971_c0_g1_i14.p2
N0.HOG0007357,OG0000432,n27,TRINITY_DN34191_c0_g1_i2.p1,TRINITY_DN253_c0_g1_i6.p1,TRINITY_DN12688_c0_g1_i1.p1,TRINITY_DN12630_c0_g1_i4.p1
N0.HOG0007359,OG0000432,n34,TRINITY_DN35169_c0_g1_i7.p1,TRINITY_DN4110_c1_g1_i3.p1,TRINITY_DN2841_c0_g1_i6.p1,TRINITY_DN879_c0_g1_i6.p1
N0.HOG0007365,OG0000433,n23,TRINITY_DN191386_c0_g1_i2.p1,TRINITY_DN318055_c0_g1_i1.p1,TRINITY_DN325290_c0_g1_i3.p1,TRINITY_DN129105_c0_g1_i2.p1
N0.HOG0007371,OG0000433,n38,TRINITY_DN21554_c0_g1_i11.p1,TRINITY_DN126471_c0_g1_i8.p1,TRINITY_DN191326_c0_g1_i6.p1,TRINITY_DN63504_c0_g1_i4.p1
N0.HOG0007399,OG0000436,n30,TRINITY_DN5354_c0_g1_i9.p1,TRINITY_DN425_c0_g1_i6.p1,TRINITY_DN21220_c0_g1_i1.p1,TRINITY_DN11780_c0_g1_i2.p1
N0.HOG0007400,OG0000436,n34,TRINITY_DN11391_c0_g1_i5.p1,TRINITY_DN425_c0_g2_i1.p1,TRINITY_DN3605_c0_g1_i2.p1,TRINITY_DN8685_c0_g1_i13.p1
N0.HOG0007433,OG0000441,n1,TRINITY_DN6097_c0_g1_i1.p1,TRINITY_DN27929_c0_g1_i4.p1,TRINITY_DN5676_c0_g1_i8.p1,TRINITY_DN5838_c0_g1_i6.p1
N0.HOG0007447,OG0000443,n1,TRINITY_DN9181_c0_g1_i1.p1,TRINITY_DN253223_c0_g1_i1.p1,TRINITY_DN32152_c0_g1_i4.p1,TRINITY_DN17005_c0_g1_i1.p1
N0.HOG0007458,OG0000444,n31,TRINITY_DN649_c5_g1_i4.p1,TRINITY_DN1118_c0_g1_i3.p1,TRINITY_DN6803_c0_g1_i5.p1,TRINITY_DN7571_c0_g1_i1.p1
N0.HOG0007464,OG0000445,n20,TRINITY_DN244665_c0_g1_i4.p1,TRINITY_DN112937_c0_g1_i1.p1,TRINITY_DN186817_c0_g1_i1.p1,TRINITY_DN189374_c0_g1_i2.p1
N0.HOG0007465,OG0000445,n23,TRINITY_DN77534_c0_g1_i2.p1,TRINITY_DN114535_c0_g1_i2.p1,TRINITY_DN224483_c0_g1_i3.p1,TRINITY_DN495430_c0_g1_i1.p1
N0.HOG0007469,OG0000445,n35,TRINITY_DN164344_c0_g1_i1.p1,TRINITY_DN150978_c0_g1_i1.p1,TRINITY_DN177926_c0_g1_i1.p1,TRINITY_DN488429_c0_g1_i1.p1
N0.HOG0007489,OG0000448,n1,TRINITY_DN116493_c0_g1_i1.p1,TRINITY_DN406732_c0_g1_i2.p1,TRINITY_DN370825_c0_g1_i2.p1,TRINITY_DN257335_c0_g1_i1.p1
N0.HOG0007494,OG0000448,n24,TRINITY_DN14003_c0_g1_i3.p1,TRINITY_DN11983_c0_g1_i3.p1,TRINITY_DN9701_c0_g1_i3.p1,TRINITY_DN5472_c0_g2_i1.p1
N0.HOG0007497,OG0000448,n36,TRINITY_DN22409_c0_g1_i3.p1,TRINITY_DN21446_c0_g1_i2.p1,TRINITY_DN21340_c0_g1_i2.p1,TRINITY_DN12666_c0_g1_i6.p1
N0.HOG0007504,OG0000449,n33,TRINITY_DN2714_c0_g2_i1.p1,TRINITY_DN9297_c0_g1_i6.p1,TRINITY_DN316841_c0_g1_i1.p1,TRINITY_DN205296_c0_g1_i1.p1
N0.HOG0007505,OG0000449,n36,TRINITY_DN14375_c2_g1_i3.p1,TRINITY_DN5368_c0_g1_i1.p1,TRINITY_DN9841_c0_g1_i5.p1,TRINITY_DN8420_c0_g1_i7.p1
N0.HOG0007516,OG0000451,n1,TRINITY_DN1630_c2_g1_i2.p1,TRINITY_DN199711_c0_g1_i3.p1,TRINITY_DN38814_c0_g2_i2.p1,TRINITY_DN14764_c0_g1_i10.p1
N0.HOG0007518,OG0000451,n11,TRINITY_DN68858_c0_g1_i4.p1,TRINITY_DN43892_c0_g1_i2.p1,TRINITY_DN94656_c0_g1_i1.p1,TRINITY_DN552_c1_g1_i3.p1
N0.HOG0007535,OG0000453,n15,TRINITY_DN9480_c0_g1_i3.p2,TRINITY_DN191672_c0_g1_i1.p1,TRINITY_DN145512_c0_g1_i2.p1,TRINITY_DN35668_c0_g1_i5.p1
N0.HOG0007540,OG0000454,n1,TRINITY_DN462920_c0_g1_i1.p1,TRINITY_DN218521_c0_g1_i2.p1,TRINITY_DN41785_c0_g1_i1.p1,TRINITY_DN88208_c0_g1_i1.p1
N0.HOG0007557,OG0000456,n12,TRINITY_DN180339_c0_g1_i1.p1,TRINITY_DN158984_c0_g1_i18.p1,TRINITY_DN312433_c0_g1_i1.p1,TRINITY_DN194187_c0_g1_i3.p1
N0.HOG0007559,OG0000456,n19,TRINITY_DN319589_c0_g1_i1.p1,TRINITY_DN222807_c0_g1_i4.p1,TRINITY_DN351021_c0_g1_i1.p1,TRINITY_DN161725_c0_g1_i3.p1
N0.HOG0007567,OG0000457,n1,TRINITY_DN73407_c0_g1_i14.p1,TRINITY_DN55537_c0_g1_i4.p1,TRINITY_DN104418_c0_g1_i2.p1,TRINITY_DN184945_c0_g1_i2.p1
N0.HOG0007601,OG0000461,n17,TRINITY_DN5826_c0_g2_i3.p1,TRINITY_DN771_c0_g2_i4.p1,TRINITY_DN5794_c2_g1_i2.p1,TRINITY_DN4078_c0_g1_i17.p1
N0.HOG0007606,OG0000462,n1,TRINITY_DN1050_c1_g1_i18.p2,TRINITY_DN240446_c0_g1_i1.p1,TRINITY_DN14527_c1_g1_i8.p1,TRINITY_DN31760_c0_g1_i13.p1
N0.HOG0007617,OG0000463,n1,TRINITY_DN10643_c0_g1_i1.p1,TRINITY_DN18512_c0_g1_i4.p1,TRINITY_DN265527_c0_g1_i2.p1,TRINITY_DN24242_c0_g1_i1.p1
N0.HOG0007618,OG0000463,n6,TRINITY_DN884_c0_g1_i12.p1,TRINITY_DN45098_c0_g1_i12.p1,TRINITY_DN18818_c0_g1_i2.p1,TRINITY_DN3102_c1_g1_i3.p1
N0.HOG0007621,OG0000463,n20,TRINITY_DN34086_c0_g1_i1.p1,TRINITY_DN247255_c0_g1_i2.p1,TRINITY_DN166550_c0_g1_i4.p1,TRINITY_DN252002_c0_g1_i2.p1
N0.HOG0007622,OG0000463,n23,TRINITY_DN18417_c0_g1_i3.p1,TRINITY_DN92425_c0_g1_i4.p1,TRINITY_DN29814_c0_g1_i2.p1,TRINITY_DN9449_c1_g1_i5.p1
N0.HOG0007626,OG0000464,n1,TRINITY_DN180922_c0_g1_i3.p1,TRINITY_DN275957_c0_g1_i1.p1,TRINITY_DN13605_c1_g1_i6.p1,TRINITY_DN104858_c0_g1_i1.p2
N0.HOG0007653,OG0000467,n20,TRINITY_DN241_c1_g1_i4.p1,TRINITY_DN9529_c0_g1_i10.p1,TRINITY_DN67125_c0_g1_i23.p2,TRINITY_DN558_c0_g1_i7.p1
N0.HOG0007695,OG0000472,n1,TRINITY_DN24247_c2_g1_i8.p1,TRINITY_DN66425_c0_g1_i5.p1,TRINITY_DN246015_c2_g2_i6.p1,TRINITY_DN153334_c0_g1_i3.p1
N0.HOG0007697,OG0000472,n9,TRINITY_DN90049_c0_g1_i1.p1,TRINITY_DN201920_c0_g1_i2.p1,TRINITY_DN360154_c0_g1_i1.p1,TRINITY_DN436939_c0_g1_i1.p1
N0.HOG0007698,OG0000472,n13,TRINITY_DN38391_c0_g1_i1.p1,TRINITY_DN195560_c0_g1_i8.p1,TRINITY_DN34068_c1_g1_i3.p1,TRINITY_DN19490_c0_g1_i8.p1
N0.HOG0007699,OG0000472,n17,TRINITY_DN138692_c0_g1_i1.p1,TRINITY_DN25209_c1_g1_i5.p1,TRINITY_DN246526_c0_g1_i2.p1,TRINITY_DN70204_c0_g1_i5.p1
N0.HOG0007718,OG0000475,n1,TRINITY_DN243_c0_g1_i8.p1,TRINITY_DN3260_c0_g1_i4.p2,TRINITY_DN487_c0_g1_i29.p1,TRINITY_DN62238_c0_g1_i2.p1
N0.HOG0007720,OG0000475,n8,TRINITY_DN58576_c1_g1_i3.p1,TRINITY_DN28887_c0_g1_i1.p1,TRINITY_DN75647_c0_g1_i1.p1,TRINITY_DN25617_c0_g1_i4.p1
N0.HOG0007727,OG0000476,n1,TRINITY_DN63357_c0_g1_i1.p1,TRINITY_DN208301_c0_g1_i1.p1,TRINITY_DN28842_c0_g1_i4.p1,TRINITY_DN126482_c0_g1_i9.p1
N0.HOG0007737,OG0000477,n1,TRINITY_DN37900_c0_g1_i2.p1,TRINITY_DN50854_c0_g1_i1.p1,TRINITY_DN91201_c0_g1_i6.p1,TRINITY_DN268524_c0_g1_i1.p1
N0.HOG0007742,OG0000477,n21,TRINITY_DN133053_c0_g1_i1.p1,TRINITY_DN185703_c0_g1_i1.p1,TRINITY_DN16655_c0_g1_i2.p1,TRINITY_DN63700_c0_g1_i1.p1
N0.HOG0007761,OG0000479,n27,TRINITY_DN4145_c0_g1_i6.p1,TRINITY_DN14208_c0_g1_i2.p1,TRINITY_DN259124_c0_g1_i5.p1,TRINITY_DN32910_c0_g1_i6.p1
N0.HOG0007763,OG0000479,n35,TRINITY_DN98257_c0_g1_i11.p1,TRINITY_DN12938_c0_g1_i10.p1,TRINITY_DN20994_c0_g1_i4.p1,TRINITY_DN25516_c0_g1_i8.p1
N0.HOG0007764,OG0000480,n1,TRINITY_DN5051_c2_g1_i9.p1,TRINITY_DN8523_c1_g1_i6.p1,TRINITY_DN29909_c0_g1_i1.p1,TRINITY_DN25015_c0_g1_i3.p1
N0.HOG0007794,OG0000484,n12,TRINITY_DN470_c4_g1_i2.p1,TRINITY_DN1152_c2_g2_i1.p1,TRINITY_DN45930_c0_g1_i2.p1,TRINITY_DN1636_c1_g1_i6.p1
N0.HOG0007835,OG0000489,n1,TRINITY_DN37891_c0_g1_i10.p1,TRINITY_DN5466_c0_g1_i6.p1,TRINITY_DN75203_c0_g1_i8.p1,TRINITY_DN34046_c0_g1_i4.p1
N0.HOG0007837,OG0000489,n12,TRINITY_DN56174_c0_g1_i9.p1,TRINITY_DN52651_c0_g1_i1.p1,TRINITY_DN7349_c1_g1_i2.p1,TRINITY_DN28814_c0_g1_i3.p1
N0.HOG0007866,OG0000492,n7,TRINITY_DN25695_c0_g1_i13.p1,TRINITY_DN22643_c1_g1_i14.p1,TRINITY_DN9356_c0_g1_i7.p1,TRINITY_DN1046_c0_g1_i3.p1
N0.HOG0007867,OG0000492,n11,TRINITY_DN16046_c0_g1_i8.p1,TRINITY_DN4815_c0_g1_i11.p1,TRINITY_DN7269_c0_g2_i5.p1,TRINITY_DN8906_c0_g1_i3.p1
N0.HOG0007876,OG0000493,n9,TRINITY_DN12497_c0_g1_i1.p1,TRINITY_DN7054_c0_g1_i10.p1,TRINITY_DN4635_c0_g1_i1.p1,TRINITY_DN3227_c0_g1_i7.p1
N0.HOG0007921,OG0000499,n21,TRINITY_DN21627_c0_g1_i3.p1,TRINITY_DN2330_c1_g1_i1.p1,TRINITY_DN98492_c0_g1_i6.p1,TRINITY_DN22431_c0_g2_i1.p1
N0.HOG0007931,OG0000501,n9,TRINITY_DN1841_c0_g1_i6.p1,TRINITY_DN7184_c0_g1_i8.p1,TRINITY_DN2821_c0_g1_i7.p1,TRINITY_DN13387_c0_g1_i8.p1
N0.HOG0007937,OG0000501,n26,TRINITY_DN460_c0_g1_i7.p1,TRINITY_DN3010_c1_g1_i3.p1,TRINITY_DN12367_c0_g1_i4.p1,TRINITY_DN10824_c0_g1_i1.p1
N0.HOG0007943,OG0000502,n32,TRINITY_DN7710_c1_g1_i5.p1,TRINITY_DN17124_c0_g2_i1.p1,TRINITY_DN4489_c0_g1_i9.p1,TRINITY_DN3055_c0_g1_i8.p1
N0.HOG0007952,OG0000505,n12,TRINITY_DN1986_c0_g1_i1.p2,TRINITY_DN9931_c0_g1_i11.p1,TRINITY_DN1034_c0_g1_i3.p1,TRINITY_DN3696_c0_g2_i5.p1
N0.HOG0007957,OG0000506,n1,TRINITY_DN14249_c0_g1_i7.p3,TRINITY_DN131146_c0_g1_i1.p1,TRINITY_DN581306_c0_g1_i1.p1,TRINITY_DN137931_c0_g1_i3.p1
